team|played|goals|xg|goals_vs_xg|shots|sot|conv|xg_per_shot|SOT_per_shot|_sortKey
Arsenal|22|40|39.27|0.73|328|109|12.20%|0.12|3.009174312|1
Aston Villa|22|33|27.14|5.86|263|95|12.55%|0.1|2.768421053|1
Bournemouth|22|35|34.23|0.77|300|106|11.67%|0.11|2.830188679|1
Brentford|22|35|36.27|-1.27|231|94|15.15%|0.16|2.457446809|1
Brighton|22|32|34.59|-2.59|294|98|10.88%|0.12|3|1
Burnley|22|23|18.51|4.49|194|64|11.86%|0.1|3.03125|1
Chelsea|22|36|38.85|-2.85|298|103|12.08%|0.13|2.893203883|1
Crystal Palace|22|23|34.29|-11.29|252|83|9.13%|0.14|3.036144578|1
Everton|22|24|24.14|-0.14|237|69|10.13%|0.1|3.434782609|1
Fulham|22|30|24.65|5.35|259|80|11.58%|0.1|3.2375|1
Leeds|22|30|31.96|-1.96|282|91|10.64%|0.11|3.098901099|1
Liverpool|22|33|35.47|-2.47|341|95|9.68%|0.1|3.589473684|1
Man City|22|45|40.69|4.31|312|113|14.42%|0.13|2.761061947|1
Man Utd|22|38|40.61|-2.61|362|126|10.50%|0.11|2.873015873|1
Newcastle|22|32|32.64|-0.64|284|103|11.27%|0.12|2.757281553|1
Nottm Forest|22|21|25.4|-4.4|266|85|7.89%|0.1|3.129411765|1
Spurs|22|31|21.97|9.03|235|78|13.19%|0.09|3.012820513|1
Sunderland|22|23|20.16|2.84|215|72|10.70%|0.09|2.986111111|1
West Ham|22|24|24.32|-0.32|227|74|10.57%|0.11|3.067567568|1
Wolves|22|15|20|-5|197|69|7.61%|0.1|2.855072464|1
